u,v,key,osmid,highway,maxspeed,name,oneway,ref,reversed,length,geometry,lanes,access,bridge,junction,tunnel,area,width,service
2232047875,2232047866,0,213526248,residential,,M R Krishna Road,False,,True,30.36299073204645,"LINESTRING (78.5100434 17.4997952, 78.5103225 17.4997343)",,,,,,,,
2852234299,2852234302,0,281245717,residential,,,False,,True,66.41514079400136,"LINESTRING (78.4576659 17.3806681, 78.457065 17.3808351)",,,,,,,,
1401096547,3670021985,0,126376398,residential,,,False,,True,61.19896360340805,"LINESTRING (78.5196635 17.4415605, 78.519492 17.4415273, 78.5190901 17.4415257)",,,,,,,,
2852325954,2852309885,0,281257360,residential,,,False,,False,92.83404438940948,"LINESTRING (78.4342958 17.5192377, 78.4343954 17.5192031, 78.4344825 17.5191599, 78.4346597 17.5190747, 78.4349716 17.518846, 78.4350219 17.5187874)",,,,,,,,
1820118719,1820118776,0,267647963,residential,,,False,,True,22.6030325341842,"LINESTRING (78.4314113 17.3382315, 78.4313694 17.3380322)",,,,,,,,
7697942109,7697942108,0,824416776,residential,,,False,,False,25.76331079016129,"LINESTRING (78.4298703 17.5301123, 78.4299174 17.5303396)",,,,,,,,
2225282196,2225282245,0,212710535,residential,,Arafat Lane,False,,False,39.9158471138078,"LINESTRING (78.5423101 17.4592774, 78.5425145 17.4595788)",,,,,,,,
1594509849,1596515219,0,146179928,residential,,,False,,True,51.76600849993495,"LINESTRING (78.5627292 17.3724336, 78.5632155 17.3723972)",,,,,,,,
2245994993,2245994986,0,418467157,residential,,,False,,True,35.98074024127726,"LINESTRING (78.5406107 17.3421274, 78.5409425 17.3420611)",,,,,,,,
1332740152,1332027654,0,118506899,residential,,,False,,False,95.08444247649932,"LINESTRING (78.5295885 17.454845, 78.5299054 17.4547579, 78.5301876 17.4546742, 78.5304435 17.4545889)",,,,,,,,
2234276224,2234276223,0,213788077,residential,,,False,,False,21.54704200053245,"LINESTRING (78.511 17.4326043, 78.5111783 17.4325115)",,,,,,,,
635725346,635722714,0,213992511,residential,,,False,,False,43.77945492282359,"LINESTRING (78.5104157 17.4066609, 78.5104847 17.4068615, 78.5105417 17.4070358)",,,,,,,,
9713100853,1596680114,0,28474806,residential,,Road Number 7,False,,True,127.23949834391873,"LINESTRING (78.5495139 17.3723681, 78.5503095 17.3722883, 78.5506636 17.3721128)",,,,,,,,
3598253460,1404725237,0,213849879,residential,,,False,,False,43.02410065389365,"LINESTRING (78.5013953 17.4171699, 78.5014271 17.4174535, 78.5015057 17.4175222)",,,,,,,,
11878596234,11878596233,0,1279604804,residential,,,False,,True,22.788956040063823,"LINESTRING (78.4165144 17.5236742, 78.4167289 17.523687)",,,,,,,,
2036915563,2028554629,0,192297841,residential,,,False,,False,51.02639848029746,"LINESTRING (78.4264438 17.5019017, 78.4259698 17.5019806)",,,,,,,,
7243036688,4206884649,0,820954734,residential,,,False,,False,56.30057514962123,"LINESTRING (78.308436 17.4316982, 78.308603 17.4321788)",,,,,,,,
2795740908,4198155593,0,274758272,residential,,,False,,False,121.68507853990748,"LINESTRING (78.4176183 17.3789906, 78.4181459 17.3789203, 78.4181646 17.3789192, 78.4181695 17.3789202, 78.4181733 17.3789226, 78.4181759 17.3789261, 78.4181774 17.378932, 78.4181859 17.3790197, 78.4181886 17.3790235, 78.418193 17.3790266, 78.4181993 17.3790283, 78.4182053 17.3790291, 78.4184104 17.3789986, 78.4184939 17.3789512, 78.4186476 17.3789328)",,,,,,,,
1596679788,1596679789,0,146395337,residential,,,False,,True,44.26776345589003,"LINESTRING (78.5544091 17.3718889, 78.5545091 17.3722754)",,,,,,,,
2852505208,2852505211,0,281272461,residential,,,False,,False,12.302712841123611,"LINESTRING (78.4549633 17.3466899, 78.455079 17.3466966)",,,,,,,,
11549188845,1866855479,0,176414374,secondary,,Necklace Road,True,,False,576.1802555080776,"LINESTRING (78.4677821 17.4369308, 78.4675379 17.4368303, 78.4672616 17.4366742, 78.4669679 17.4364618, 78.466756 17.4362507, 78.4664261 17.4358617, 78.4660855 17.4353806, 78.4655683 17.4344633, 78.4654954 17.434334, 78.4653787 17.4341779, 78.4650971 17.4337953, 78.4648651 17.4334319, 78.4645982 17.4330161, 78.4645244 17.4328997)",,,,,,,,
2795821096,2795821098,0,349092796,residential,,,False,,False,21.90230112409897,"LINESTRING (78.5763915 17.4891482, 78.5761943 17.4892067)",,,,,,,,
2852468409,2852468407,0,563807169,residential,,brahmanwadi street number 1,False,,False,47.4671216310681,"LINESTRING (78.4604534 17.4383673, 78.4608832 17.4382486)",,,,,,,,
2231825667,2234141606,0,118694016,residential,,,False,,True,2.249958347122888,"LINESTRING (78.5367559 17.4402608, 78.5367347 17.4402602)",,,,,,,,
5114946946,5114946947,0,525866918,residential,,,False,,False,75.09510034540608,"LINESTRING (78.4151104 17.3484266, 78.4157833 17.3482179)",,,,,,,,
7716656758,3612544304,0,355709086,residential,,,False,,False,66.92822885287158,"LINESTRING (78.4473941 17.3347223, 78.4474516 17.334756, 78.4477016 17.3347967, 78.448011 17.3347911)",,,,,,,,
5569686435,5569686497,0,582344715,tertiary,,H. T. Line Road,True,,False,15.801109236185658,"LINESTRING (78.54504 17.4947393, 78.5449403 17.4948449)",,,,,,,,
2796376328,2796376324,0,274964965,residential,,,False,,False,18.315764454867217,"LINESTRING (78.567856 17.4598906, 78.5680087 17.4598137)",,,,,,,,
2585281522,2585281523,0,252488299,residential,,,False,,False,56.65635061884316,"LINESTRING (78.5723555 17.3975627, 78.5723014 17.3980696)",,,,,,,,
3182362193,2822548158,0,1340005911,residential,,,False,,False,56.72093003864835,"LINESTRING (78.4060305 17.4501357, 78.4065648 17.4501157)",,,,,,,,
2783189119,2783189109,0,273469718,residential,,,False,,True,45.51540516467799,"LINESTRING (78.5095706 17.5109339, 78.5098593 17.510631)",,,,,,,,
2738997127,3550391327,0,268552144,residential,,,False,,True,25.95462289609053,"LINESTRING (78.4341598 17.3533603, 78.4339368 17.3534561)",,,,,,,,
2236282689,3612562234,0,213992629,residential,,,False,,False,46.25773888048897,"LINESTRING (78.5245178 17.3860035, 78.524482 17.3855889)",,,,,,,,
2231826811,2231826618,0,213499993,residential,,,False,,True,87.06049007054764,"LINESTRING (78.5448539 17.4443592, 78.5446094 17.4436118)",,,,,,,,
2231529897,3598268534,0,354040417,residential,,,False,,False,72.87406653619377,"LINESTRING (78.5517655 17.4654537, 78.5517257 17.4653263, 78.5516984 17.4653022, 78.5516608 17.4653003, 78.5513194 17.4653617, 78.5512833 17.4653623, 78.5512515 17.4653456, 78.5512376 17.4652968)",,,,,,,,
